Time,Load
16/02/2021 0:00,1069365.932
16/02/2021 1:00,1051863.432
16/02/2021 2:00,1036843.932
16/02/2021 3:00,1027751.932
16/02/2021 4:00,1020528.432
16/02/2021 5:00,1021299.432
16/02/2021 6:00,1035374.932
16/02/2021 7:00,1083102.432
16/02/2021 8:00,1170866.932
16/02/2021 9:00,1259924.932
16/02/2021 10:00,1321669.432
16/02/2021 11:00,1339398.932
16/02/2021 12:00,1337036.432
16/02/2021 13:00,1328526.932
16/02/2021 14:00,1332849.432
16/02/2021 15:00,1322946.432
16/02/2021 16:00,1299348.932
16/02/2021 17:00,1267359.932
16/02/2021 18:00,1223531.432
16/02/2021 19:00,1186482.432
16/02/2021 20:00,1147712.932
16/02/2021 21:00,1121879.432
16/02/2021 22:00,1101506.432
16/02/2021 23:00,1077974.932